Shop Location,Shop Owner,Item,Stock/Space,Price,Action,Status,Timestamp,Warp
-17632 158 18756,SerSicerio,Enchanted Golden Apple,20,10000,SELLING,Active,2026-08-07 08:17:08,/warp serstore
-17631 158 18756,SerSicerio,Candy Cane Hoe,0,150000,SELLING,out of stock,2026-08-07 08:17:07,/warp serstore
-17630 158 18756,SerSicerio,Hot Cocoa Spoon,0,150000,SELLING,out of stock,2026-08-07 08:17:07,/warp serstore
-17628 158 18756,SerSicerio,🌸 𝙱𝚕𝚘𝚜𝚜𝚘𝚖 𝙰𝚡𝚎 🌸,0,300000,SELLING,out of stock,2026-08-07 08:17:05,/warp serstore
-17627 158 18756,SerSicerio,Jingle Jacket,0,150000,SELLING,out of stock,2026-08-07 08:17:05,/warp serstore
-17626 158 18756,SerSicerio,🌸 𝙱𝚕𝚘𝚜𝚜𝚘𝚖 𝚂𝚑𝚘𝚟𝚎𝚕 🌸,0,300000,SELLING,out of stock,2026-08-07 08:17:04,/warp serstore
-17625 158 18756,SerSicerio,🌿 Wildflower Wand ✨,0,200000,SELLING,out of stock,2026-08-07 08:17:04,/warp serstore
-17624 158 18758,SerSicerio,Rainy Helmet,0,5000,SELLING,out of stock,2026-08-07 08:17:02,/warp serstore
-17624 158 18759,SerSicerio,Rainy Jacket,0,5000,SELLING,out of stock,2026-08-07 08:17:01,/warp serstore
-17624 158 18760,SerSicerio,Rainy Pants,0,5000,SELLING,out of stock,2026-08-07 08:17:01,/warp serstore
-17624 158 18762,SerSicerio,Rainy Bow,13,5000,SELLING,Active,2026-08-07 08:16:59,/warp serstore
-17624 158 18763,SerSicerio,Rainy Hammer,13,5000,SELLING,Active,2026-08-07 08:16:59,/warp serstore
-17624 158 18764,SerSicerio,Rainy Crossbow,23,5000,SELLING,Active,2026-08-07 08:16:58,/warp serstore
-17624 158 18765,SerSicerio,Rainy Sword,3,5000,SELLING,Active,2026-08-07 08:16:57,/warp serstore
-17661 158 18760,Ser_Sicerio,Dried Ghast,0,1,SELLING,out of stock,2026-05-26 09:40:43,/warp serstore
-17667 158 18758,Ser_Sicerio,Nether Quartz Ore,0,60,SELLING,Dead,2026-05-26 09:40:49,/warp serstore
-17673 158 18758,Ser_Sicerio,Diamond Ore,0,1000,SELLING,out of stock,2026-05-26 09:40:54,/warp serstore
-17673 159 18759,Ser_Sicerio,Diamond Ore,3456,500,BUYING,Active,2026-05-26 09:40:58,/warp serstore
-17667 159 18759,Ser_Sicerio,Nether Quartz Ore,3456,30,BUYING,Dead,2026-05-26 09:41:04,/warp serstore
-17671 158 18755,Ser_Sicerio,Netherite Scrap,0,1250,SELLING,out of stock,2026-05-26 09:41:19,/warp serstore
-17671 159 18754,Ser_Sicerio,Netherite Scrap,3456,500,BUYING,Active,2026-05-26 09:41:19,/warp serstore
-17670 159 18753,Ser_Sicerio,Netherite Ingot,3456,3000,BUYING,Active,2026-05-26 09:41:20,/warp serstore
-17668 159 18754,Ser_Sicerio,Emerald,3456,10,BUYING,Active,2026-05-26 09:41:23,/warp serstore
-17668 158 18755,Ser_Sicerio,Emerald,0,15,SELLING,out of stock,2026-05-26 09:41:24,/warp serstore
-17667 159 18753,Ser_Sicerio,Gold Ingot,8,20,SELLING,Active,2026-05-26 09:41:24,/warp serstore
-17666 159 18753,Ser_Sicerio,Iron Ingot,3456,3,BUYING,Active,2026-05-26 09:41:26,/warp serstore
-17649 166 18726,Ser_Sicerio,Dried Ghast,1728,5000,BUYING,Active,2026-05-26 09:41:43,/warp serstore
-17648 165 18727,Ser_Sicerio,End Crystal,1728,250,BUYING,Active,2026-05-26 09:41:44,/warp serstore
-17642 163 18728,Ser_Sicerio,Dragon's Breath,0,25,SELLING,out of stock,2026-05-26 09:41:50,/warp serstore
-17643 168 18727,Ser_Sicerio,Beacon,0,696969,SELLING,out of stock,2026-05-26 09:41:52,/warp serstore
-17650 163 18734,Ser_Sicerio,Beacon,0,1,SELLING,out of stock,2026-05-26 09:41:56,/warp serstore
-17641 157 18786,Ser_Sicerio,Beacon,0,1,SELLING,out of stock,2026-05-26 09:42:37,/warp serstore
-17639 159 18793,Ser_Sicerio,Beacon,0,1,SELLING,out of stock,2026-05-26 09:42:41,/warp serstore
-17627 158 18793,Ser_Sicerio,Music Disc,7,100,SELLING,Active,2026-05-26 09:43:28,/warp serstore
-17621 158 18793,Ser_Sicerio,Music Disc,54,1000,SELLING,Active,2026-05-26 09:43:32,/warp serstore
-17620 158 18793,Ser_Sicerio,Music Disc,54,1000,SELLING,Active,2026-05-26 09:43:32,/warp serstore
-17619 158 18793,Ser_Sicerio,Music Disc,54,1000,SELLING,Active,2026-05-26 09:43:33,/warp serstore
-17618 158 18793,Ser_Sicerio,Music Disc,54,1000,SELLING,Active,2026-05-26 09:43:34,/warp serstore
-17618 160 18793,Ser_Sicerio,Music Disc,0,500,BUYING,out of space,2026-05-26 09:43:35,/warp serstore
-17619 160 18793,Ser_Sicerio,Music Disc,44,500,BUYING,Active,2026-05-26 09:43:36,/warp serstore
-17620 160 18793,Ser_Sicerio,Music Disc,16,500,BUYING,Active,2026-05-26 09:43:37,/warp serstore
-17621 160 18793,Ser_Sicerio,Music Disc,54,500,BUYING,Active,2026-05-26 09:43:37,/warp serstore
-17618 160 18794,Ser_Sicerio,Music Disc,19,500,BUYING,Active,2026-05-26 09:43:38,/warp serstore
-17618 160 18795,Ser_Sicerio,Music Disc,27,500,BUYING,Active,2026-05-26 09:43:39,/warp serstore
-17618 160 18796,Ser_Sicerio,Music Disc,6,500,BUYING,Active,2026-05-26 09:43:40,/warp serstore
-17618 160 18797,Ser_Sicerio,Music Disc,26,500,BUYING,Active,2026-05-26 09:43:41,/warp serstore
-17618 158 18797,Ser_Sicerio,Music Disc,54,1000,SELLING,Active,2026-05-26 09:43:41,/warp serstore
-17618 158 18796,Ser_Sicerio,Music Disc,54,1000,SELLING,Active,2026-05-26 09:43:42,/warp serstore
-17618 158 18795,Ser_Sicerio,Music Disc,54,1000,SELLING,Active,2026-05-26 09:43:43,/warp serstore
-17618 158 18794,Ser_Sicerio,Music Disc,54,1000,SELLING,Active,2026-05-26 09:43:44,/warp serstore
-17618 158 18798,Ser_Sicerio,Music Disc,53,1000,SELLING,Active,2026-05-26 09:43:53,/warp serstore
-17619 158 18798,Ser_Sicerio,Music Disc,2,1000,SELLING,Active,2026-05-26 09:43:54,/warp serstore
-17620 158 18798,Ser_Sicerio,Music Disc,6,1000,SELLING,Active,2026-05-26 09:43:55,/warp serstore
-17621 158 18798,Ser_Sicerio,Music Disc,0,1000,SELLING,out of stock,2026-05-26 09:43:56,/warp serstore
-17621 160 18798,Ser_Sicerio,Music Disc,54,500,BUYING,Active,2026-05-26 09:43:57,/warp serstore
-17620 160 18798,Ser_Sicerio,Music Disc,54,500,BUYING,Active,2026-05-26 09:43:57,/warp serstore
-17619 160 18798,Ser_Sicerio,Music Disc,54,500,BUYING,Active,2026-05-26 09:43:58,/warp serstore
-17618 160 18798,Ser_Sicerio,Music Disc,9,500,BUYING,Active,2026-05-26 09:43:59,/warp serstore
-17627 158 18798,Ser_Sicerio,Precipice,0,10000,SELLING,out of stock,2026-05-26 09:44:02,/warp serstore
8596 -28 -2005,FX_02,Rib Armor Trim,41,1500,SELLING,Active,2026-05-26 23:48:04,/warp 1
8595 -28 -2005,FX_02,Dune Armor Trim,83,1500,SELLING,Active,2026-05-26 23:48:05,/warp 1
8594 -28 -2005,FX_02,Tide Armor Trim,21,1500,SELLING,Active,2026-05-26 23:48:05,/warp 1
8593 -28 -2005,FX_02,Silence Armor Trim,13,1500,SELLING,Active,2026-05-26 23:48:06,/warp 1
8592 -28 -2005,FX_02,Coast Armor Trim,95,1500,SELLING,Active,2026-05-26 23:48:07,/warp 1
8591 -28 -2005,FX_02,Snout Armor Trim,9,1500,SELLING,Active,2026-05-26 23:48:07,/warp 1
8590 -28 -2005,FX_02,Ward Armor Trim,10,1500,SELLING,Active,2026-05-26 23:48:08,/warp 1
8589 -28 -2005,FX_02,Shaper Armor Trim,55,1500,SELLING,Active,2026-05-26 23:48:08,/warp 1
8588 -28 -2005,FX_02,Host Armor Trim,50,1500,SELLING,Active,2026-05-26 23:48:09,/warp 1
8586 -28 -2005,FX_02,Spire Armor Trim,59,1500,SELLING,Active,2026-05-26 23:48:10,/warp 1
8585 -28 -2005,FX_02,Sentry Armor Trim,2,1500,SELLING,Active,2026-05-26 23:48:11,/warp 1
8584 -28 -2005,FX_02,Vex Armor Trim,41,1500,SELLING,Active,2026-05-26 23:48:12,/warp 1
8583 -28 -2005,FX_02,Wild Armor Trim,31,1500,SELLING,Active,2026-05-26 23:48:13,/warp 1
8582 -28 -2005,FX_02,Wayfinder Armor Trim,29,1500,SELLING,Active,2026-05-26 23:48:13,/warp 1
8581 -28 -2005,FX_02,Raiser Armor Trim,58,1500,SELLING,Active,2026-05-26 23:48:14,/warp 1
8580 -28 -2005,FX_02,Bolt Armor Trim,53,1500,SELLING,Active,2026-05-26 23:48:15,/warp 1
8578 -28 -2005,FX_02,Flow Armor Trim,30,1500,SELLING,Active,2026-05-26 23:48:16,/warp 1
8575 -28 -2006,FX_02,Sponge,331,5000,SELLING,Active,2026-05-26 23:48:19,/warp 1
8575 -28 -2007,FX_02,Sponge,53,1000,BUYING,Active,2026-05-26 23:48:20,/warp 1
8575 -27 -2007,NoWaterJustIce,Prismarine,0,5,SELLING,out of stock,2026-05-26 23:48:20,/warp 1
8575 -26 -2006,NoWaterJustIce,Sea Pickle,518,5,SELLING,Active,2026-05-26 23:48:21,/warp 1
8575 -26 -2007,NoWaterJustIce,Sea Pickle,2938,3,BUYING,Active,2026-05-26 23:48:22,/warp 1
8575 -28 -2010,FX_02,Turtle Egg,0,500,SELLING,out of stock,2026-05-26 23:48:34,/warp 1
8575 -27 -2010,NoWaterJustIce,Sea Lantern,0,5,SELLING,out of stock,2026-05-26 23:48:34,/warp 1
8575 -26 -2010,FX_02,Seagrass,86,5,SELLING,Active,2026-05-26 23:48:35,/warp 1
8575 -26 -2014,NoWaterJustIce,Pufferfish,896,250,SELLING,Active,2026-05-26 23:48:36,/warp 1
8575 -26 -2015,NoWaterJustIce,Pufferfish,0,200,BUYING,out of space,2026-05-26 23:48:37,/warp 1
8574 -27 -2014,NoWaterJustIce,Dark Prismarine,0,10,SELLING,out of stock,2026-05-26 23:48:37,/warp 1
8575 -28 -2014,NoWaterJustIce,Tropical Fish,6,10,SELLING,Active,2026-05-26 23:48:38,/warp 1
8575 -28 -2015,NoWaterJustIce,Tropical Fish,122,5,BUYING,Active,2026-05-26 23:48:38,/warp 1
8575 -28 -2017,NoWaterJustIce,Raw Cod,257,0.25,SELLING,Active,2026-05-26 23:48:39,/warp 1
8575 -28 -2018,NoWaterJustIce,Raw Cod,3199,0.13,BUYING,Active,2026-05-26 23:48:40,/warp 1
8575 -27 -2017,NoWaterJustIce,Prismarine Bricks,0,10,SELLING,out of stock,2026-05-26 23:48:41,/warp 1
8575 -26 -2017,NoWaterJustIce,Raw Salmon,96,0.5,SELLING,Active,2026-05-26 23:48:42,/warp 1
8575 -26 -2018,NoWaterJustIce,Raw Salmon,3360,0.25,BUYING,Active,2026-05-26 23:48:42,/warp 1
8586 -28 -2009,NoWaterJustIce,Brain Coral,3276,25,BUYING,Active,2026-05-26 23:48:46,/warp 1
8586 -27 -2010,NoWaterJustIce,Tube Coral,3236,25,BUYING,Active,2026-05-26 23:48:47,/warp 1
8585 -27 -2010,NoWaterJustIce,Tube Coral,220,50,SELLING,Active,2026-05-26 23:48:48,/warp 1
8585 -28 -2009,NoWaterJustIce,Brain Coral,180,50,SELLING,Active,2026-05-26 23:48:48,/warp 1
8584 -28 -2009,NoWaterJustIce,Brain Coral Fan,3114,20,BUYING,Active,2026-05-26 23:48:50,/warp 1
8584 -27 -2010,NoWaterJustIce,Tube Coral Fan,3456,20,BUYING,Active,2026-05-26 23:48:50,/warp 1
8583 -27 -2010,NoWaterJustIce,Tube Coral Fan,0,40,SELLING,out of stock,2026-05-26 23:48:52,/warp 1
8583 -28 -2009,NoWaterJustIce,Brain Coral Fan,342,40,SELLING,Active,2026-05-26 23:48:52,/warp 1
8582 -28 -2009,NoWaterJustIce,Brain Coral Block,3456,15,BUYING,Active,2026-05-26 23:48:53,/warp 1
8582 -27 -2010,NoWaterJustIce,Tube Coral Block,3456,15,BUYING,Active,2026-05-26 23:48:54,/warp 1
8581 -27 -2010,NoWaterJustIce,Tube Coral Block,0,35,SELLING,out of stock,2026-05-26 23:48:55,/warp 1
8581 -28 -2009,NoWaterJustIce,Brain Coral Block,0,35,SELLING,out of stock,2026-05-26 23:48:56,/warp 1
8580 -28 -2010,NoWaterJustIce,Horn Coral Fan,3092,20,BUYING,Active,2026-05-26 23:48:57,/warp 1
8580 -27 -2011,NoWaterJustIce,Horn Coral,3213,25,BUYING,Active,2026-05-26 23:48:58,/warp 1
8579 -27 -2011,NoWaterJustIce,Horn Coral,243,50,SELLING,Active,2026-05-26 23:48:58,/warp 1
8579 -28 -2010,NoWaterJustIce,Horn Coral Fan,364,40,SELLING,Active,2026-05-26 23:48:59,/warp 1
8579 -28 -2014,NoWaterJustIce,Horn Coral Block,2298,35,BUYING,Active,2026-05-26 23:49:02,/warp 1
8580 -28 -2014,NoWaterJustIce,Horn Coral Block,1158,15,SELLING,Active,2026-05-26 23:49:03,/warp 1
8581 -28 -2015,NoWaterJustIce,Fire Coral Block,3456,15,BUYING,Active,2026-05-26 23:49:04,/warp 1
8582 -28 -2015,NoWaterJustIce,Fire Coral Block,0,35,SELLING,out of stock,2026-05-26 23:49:04,/warp 1
8583 -28 -2015,NoWaterJustIce,Fire Coral Fan,3456,20,BUYING,Active,2026-05-26 23:49:05,/warp 1
8584 -28 -2015,NoWaterJustIce,Fire Coral Fan,0,40,SELLING,out of stock,2026-05-26 23:49:06,/warp 1
8585 -28 -2015,NoWaterJustIce,Fire Coral,3202,25,BUYING,Active,2026-05-26 23:49:07,/warp 1
8586 -28 -2015,NoWaterJustIce,Fire Coral,254,50,SELLING,Active,2026-05-26 23:49:08,/warp 1
8586 -27 -2014,NoWaterJustIce,Bubble Coral,209,50,SELLING,Active,2026-05-26 23:49:09,/warp 1
8585 -27 -2014,NoWaterJustIce,Bubble Coral,3247,25,BUYING,Active,2026-05-26 23:49:09,/warp 1
8584 -27 -2014,NoWaterJustIce,Bubble Coral Fan,372,40,SELLING,Active,2026-05-26 23:49:10,/warp 1
8583 -27 -2014,NoWaterJustIce,Bubble Coral Fan,3084,20,BUYING,Active,2026-05-26 23:49:11,/warp 1
8582 -27 -2014,NoWaterJustIce,Bubble Coral Block,169,35,SELLING,Active,2026-05-26 23:49:12,/warp 1
8581 -27 -2014,NoWaterJustIce,Bubble Coral Block,3287,15,BUYING,Active,2026-05-26 23:49:13,/warp 1
8579 -28 -2020,FX_02,Enchanted Book,14,750,SELLING,Active,2026-05-26 23:49:16,/warp 1
8580 -28 -2020,FX_02,Enchanted Book,15,750,SELLING,Active,2026-05-26 23:49:17,/warp 1
8579 -27 -2020,FX_02,Enchanted Book,0,750,SELLING,out of stock,2026-05-26 23:49:18,/warp 1
8580 -27 -2020,FX_02,Enchanted Book,14,750,SELLING,Active,2026-05-26 23:49:19,/warp 1
8579 -26 -2020,FX_02,Enchanted Book,4,750,SELLING,Active,2026-05-26 23:49:20,/warp 1
8580 -26 -2020,FX_02,Enchanted Book,22,750,SELLING,Active,2026-05-26 23:49:21,/warp 1
8583 -28 -2020,FX_02,Enchanted Book,5,750,SELLING,Active,2026-05-26 23:49:23,/warp 1
8584 -28 -2020,FX_02,Enchanted Book,24,750,SELLING,Active,2026-05-26 23:49:24,/warp 1
8583 -27 -2020,FX_02,Enchanted Book,26,750,SELLING,Active,2026-05-26 23:49:25,/warp 1
8584 -27 -2020,FX_02,Enchanted Book,26,750,SELLING,Active,2026-05-26 23:49:26,/warp 1
8583 -26 -2020,FX_02,Enchanted Book,26,750,SELLING,Active,2026-05-26 23:49:27,/warp 1
8584 -26 -2020,FX_02,Enchanted Book,24,750,SELLING,Active,2026-05-26 23:49:28,/warp 1
8583 -25 -2020,FX_02,Enchanted Book,22,750,SELLING,Active,2026-05-26 23:49:29,/warp 1
8584 -25 -2020,FX_02,Enchanted Book,21,750,SELLING,Active,2026-05-26 23:49:30,/warp 1
8587 -25 -2020,FX_02,Enchanted Book,7,750,SELLING,Active,2026-05-26 23:49:31,/warp 1
8588 -25 -2020,FX_02,Enchanted Book,0,750,SELLING,out of stock,2026-05-26 23:49:32,/warp 1
8587 -26 -2020,FX_02,Enchanted Book,21,750,SELLING,Active,2026-05-26 23:49:33,/warp 1
8588 -26 -2020,FX_02,Enchanted Book,6,750,SELLING,Active,2026-05-26 23:49:34,/warp 1
8587 -27 -2020,FX_02,Enchanted Book,7,750,SELLING,Active,2026-05-26 23:49:35,/warp 1
8588 -27 -2020,FX_02,Enchanted Book,10,750,SELLING,Active,2026-05-26 23:49:37,/warp 1
8587 -28 -2020,FX_02,Enchanted Book,16,750,SELLING,Active,2026-05-26 23:49:38,/warp 1
8588 -28 -2020,FX_02,Enchanted Book,21,750,SELLING,Active,2026-05-26 23:49:39,/warp 1
8591 -28 -2020,FX_02,Enchanted Book,27,750,SELLING,Active,2026-05-26 23:49:40,/warp 1
8592 -28 -2020,FX_02,Enchanted Book,24,750,SELLING,Active,2026-05-26 23:49:41,/warp 1
8591 -27 -2020,FX_02,Enchanted Book,27,750,SELLING,Active,2026-05-26 23:49:42,/warp 1
8592 -27 -2020,FX_02,Enchanted Book,25,750,SELLING,Active,2026-05-26 23:49:43,/warp 1
8592 -26 -2020,FX_02,Enchanted Book,26,750,SELLING,Active,2026-05-26 23:49:44,/warp 1
8591 -26 -2020,FX_02,Enchanted Book,26,750,SELLING,Active,2026-05-26 23:49:45,/warp 1
8591 -25 -2020,FX_02,Enchanted Book,18,750,SELLING,Active,2026-05-26 23:49:46,/warp 1
8592 -25 -2020,FX_02,Enchanted Book,22,750,SELLING,Active,2026-05-26 23:49:47,/warp 1
8595 -28 -2020,FX_02,Enchanted Book,19,750,SELLING,Active,2026-05-26 23:49:48,/warp 1
8596 -28 -2020,FX_02,Enchanted Book,0,750,SELLING,out of stock,2026-05-26 23:49:49,/warp 1
8596 -27 -2020,FX_02,Enchanted Book,0,750,SELLING,out of stock,2026-05-26 23:49:51,/warp 1
8595 -26 -2020,FX_02,Enchanted Book,17,750,SELLING,Active,2026-05-26 23:49:52,/warp 1
8596 -26 -2020,FX_02,Enchanted Book,0,750,SELLING,out of stock,2026-05-26 23:49:53,/warp 1
8595 -25 -2020,FX_02,Enchanted Book,18,750,SELLING,Active,2026-05-26 23:49:54,/warp 1
8596 -25 -2020,FX_02,Enchanted Book,0,750,SELLING,out of stock,2026-05-26 23:49:55,/warp 1
8597 -25 -2018,FX_02,Shield,40,150,SELLING,Active,2026-05-26 23:49:56,/warp 1
8597 -26 -2018,FX_02,Totem of Undying,54,500,SELLING,Active,2026-05-26 23:49:57,/warp 1
8597 -26 -2019,FX_02,Totem of Undying,0,250,BUYING,out of space,2026-05-26 23:49:58,/warp 1
8597 -27 -2019,FX_02,Saddle,3,50,BUYING,Active,2026-05-26 23:49:59,/warp 1
8597 -27 -2018,FX_02,Saddle,51,100,SELLING,Active,2026-05-26 23:50:00,/warp 1
8597 -28 -2018,FX_02,Diamond Horse Armor,29,500,SELLING,Active,2026-05-26 23:50:00,/warp 1
8597 -28 -2019,FX_02,Diamond Horse Armor,25,250,BUYING,Active,2026-05-26 23:50:01,/warp 1
8597 -28 -2015,FX_02,Fishing Rod,42,50,SELLING,Active,2026-05-26 23:50:04,/warp 1
8597 -27 -2015,FX_02,Crossbow,47,50,SELLING,Active,2026-05-26 23:50:05,/warp 1
8597 -26 -2015,FX_02,Bow,0,50,SELLING,out of stock,2026-05-26 23:50:05,/warp 1
8597 -25 -2015,FX_02,Diamond Hoe,50,200,SELLING,Active,2026-05-26 23:50:06,/warp 1
8597 -25 -2012,FX_02,Diamond Sword,10,200,SELLING,Active,2026-05-26 23:50:08,/warp 1
8597 -26 -2012,FX_02,Diamond Pickaxe,11,200,SELLING,Active,2026-05-26 23:50:08,/warp 1
8597 -27 -2012,FX_02,Diamond Axe,26,200,SELLING,Active,2026-05-26 23:50:09,/warp 1
8597 -28 -2012,FX_02,Diamond Shovel,34,200,SELLING,Active,2026-05-26 23:50:10,/warp 1
8597 -28 -2009,FX_02,Diamond Boots,28,200,SELLING,Active,2026-05-26 23:50:11,/warp 1
8597 -27 -2009,FX_02,Diamond Leggings,27,200,SELLING,Active,2026-05-26 23:50:12,/warp 1
8597 -26 -2009,FX_02,Diamond Chestplate,1,200,SELLING,Active,2026-05-26 23:50:13,/warp 1
8598 -25 -2009,FX_02,Diamond Helmet,25,200,SELLING,Active,2026-05-26 23:50:14,/warp 1
8601 -33 -2006,FX_02,Splash Potion,53,250,SELLING,Active,2026-05-26 23:50:22,/warp 1
8601 -33 -2005,FX_02,Splash Potion,1,125,BUYING,Active,2026-05-26 23:50:23,/warp 1
8601 -32 -2006,FX_02,Splash Potion,53,250,SELLING,Active,2026-05-26 23:50:24,/warp 1
8601 -32 -2005,FX_02,Splash Potion,1,125,BUYING,Active,2026-05-26 23:50:25,/warp 1
8601 -31 -2006,FX_02,Splash Potion,31,250,SELLING,Active,2026-05-26 23:50:26,/warp 1
8601 -31 -2005,FX_02,Splash Potion,23,125,BUYING,Active,2026-05-26 23:50:27,/warp 1
8601 -30 -2006,FX_02,Splash Potion,46,250,SELLING,Active,2026-05-26 23:50:28,/warp 1
8601 -30 -2005,FX_02,Splash Potion,8,125,BUYING,Active,2026-05-26 23:50:29,/warp 1
8600 -30 -2004,FX_02,Splash Potion,41,250,SELLING,Active,2026-05-26 23:50:30,/warp 1
8599 -30 -2004,FX_02,Splash Potion,13,125,BUYING,Active,2026-05-26 23:50:31,/warp 1
8600 -31 -2004,FX_02,Splash Potion,4,250,SELLING,Active,2026-05-26 23:50:32,/warp 1
8599 -31 -2004,FX_02,Splash Potion,50,125,BUYING,Active,2026-05-26 23:50:34,/warp 1
8600 -32 -2004,FX_02,Splash Potion,25,250,SELLING,Active,2026-05-26 23:50:35,/warp 1
8599 -32 -2004,FX_02,Splash Potion,29,125,BUYING,Active,2026-05-26 23:50:36,/warp 1
8600 -33 -2004,FX_02,Splash Potion,53,250,SELLING,Active,2026-05-26 23:50:38,/warp 1
8599 -33 -2004,FX_02,Splash Potion,1,125,BUYING,Active,2026-05-26 23:50:39,/warp 1
8595 -27 -2020,FX_02,Enchanted Book,13,750,SELLING,Active,2026-05-26 23:50:46,/warp 1
8595 -33 -2004,FX_02,Splash Potion,36,250,SELLING,Active,2026-05-26 23:50:58,/warp 1
8594 -33 -2004,FX_02,Splash Potion,18,125,BUYING,Active,2026-05-26 23:50:59,/warp 1
8595 -32 -2004,FX_02,Splash Potion,52,250,SELLING,Active,2026-05-26 23:51:00,/warp 1
8594 -32 -2004,FX_02,Splash Potion,2,125,BUYING,Active,2026-05-26 23:51:00,/warp 1
8595 -31 -2004,FX_02,Splash Potion,48,250,SELLING,Active,2026-05-26 23:51:01,/warp 1
8594 -31 -2004,FX_02,Splash Potion,6,125,BUYING,Active,2026-05-26 23:51:02,/warp 1
8595 -30 -2004,FX_02,Splash Potion,21,250,SELLING,Active,2026-05-26 23:51:03,/warp 1
8594 -30 -2004,FX_02,Splash Potion,33,125,BUYING,Active,2026-05-26 23:51:04,/warp 1
8592 -30 -2004,FX_02,Splash Potion,46,250,SELLING,Active,2026-05-26 23:51:05,/warp 1
8591 -30 -2004,FX_02,Splash Potion,8,125,BUYING,Active,2026-05-26 23:51:06,/warp 1
8591 -31 -2004,FX_02,Splash Potion,0,125,BUYING,out of space,2026-05-26 23:51:07,/warp 1
8592 -31 -2004,FX_02,Splash Potion,54,250,SELLING,Active,2026-05-26 23:51:08,/warp 1
8592 -32 -2004,FX_02,Splash Potion,0,250,SELLING,out of stock,2026-05-26 23:51:09,/warp 1
8591 -32 -2004,FX_02,Splash Potion,54,125,BUYING,Active,2026-05-26 23:51:10,/warp 1
8591 -33 -2004,FX_02,Splash Potion,9,125,BUYING,Active,2026-05-26 23:51:11,/warp 1
8592 -33 -2004,FX_02,Splash Potion,45,250,SELLING,Active,2026-05-26 23:51:12,/warp 1
8589 -33 -2004,FX_02,Fermented Spider Eye,515,60,SELLING,Active,2026-05-26 23:51:14,/warp 1
8588 -33 -2004,FX_02,Fermented Spider Eye,61,32.5,BUYING,Active,2026-05-26 23:51:15,/warp 1
8588 -32 -2004,FX_02,Glistering Melon Slice,576,7.5,BUYING,Active,2026-05-26 23:51:16,/warp 1
8589 -32 -2004,FX_02,Glistering Melon Slice,0,15,SELLING,out of stock,2026-05-26 23:51:17,/warp 1
8589 -31 -2004,FX_02,Golden Carrot,0,15,SELLING,out of stock,2026-05-26 23:51:18,/warp 1
8588 -31 -2004,FX_02,Golden Carrot,1856,7.5,BUYING,Active,2026-05-26 23:51:19,/warp 1
8588 -30 -2004,FX_02,Brewing Stand,87,10,BUYING,Active,2026-05-26 23:51:20,/warp 1
8589 -30 -2004,FX_02,Brewing Stand,169,20,SELLING,Active,2026-05-26 23:51:21,/warp 1
8586 -30 -2004,FX_02,Phantom Membrane,579,25,SELLING,Active,2026-05-26 23:51:22,/warp 1
8585 -30 -2004,FX_02,Phantom Membrane,125,12.5,BUYING,Active,2026-05-26 23:51:23,/warp 1
8585 -31 -2004,FX_02,Rabbit's Foot,443,5,BUYING,Active,2026-05-26 23:51:23,/warp 1
8586 -31 -2004,FX_02,Rabbit's Foot,133,10,SELLING,Active,2026-05-26 23:51:24,/warp 1
