Item,Seller,Sell_Price,Buy_Price,Margin_Per_Item,Seller_Warp,Seller_Location,Seller_Timestamp,Buyer_Timestamp
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:57
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:37
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:40
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:36
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:39
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:38
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:37
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:41
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:59
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:58
Horn Coral Block,NoWaterJustIce,15.0,35.0,20.0,/warp 1,8580 -28 -2014,2026-08-07 10:20:31,2026-08-07 10:20:33
Glowstone Dust,Dani3537,5.0,10.0,5.0,/warp daniwarp,10645 92 -13153,2026-05-29 00:08:43,2026-05-29 00:08:42
Nether Wart,Dwarffles,2.0,5.0,3.0,/warp lidl,-3923 155 12306,2026-05-29 00:41:41,2026-05-28 23:33:58
Nether Wart,Dwarffles,2.0,5.0,3.0,/warp lidl,-3923 155 12306,2026-05-29 00:41:41,2026-05-28 23:33:58
Nether Wart,Dwarffles,2.0,5.0,3.0,/warp lidl,-3923 155 12306,2026-05-29 00:41:41,2026-05-28 23:33:57
Nether Wart,Dwarffles,2.0,5.0,3.0,/warp lidl,-3923 155 12306,2026-05-29 00:41:41,2026-05-28 23:34:00
Nether Wart,Dwarffles,2.0,5.0,3.0,/warp lidl,-3923 155 12306,2026-05-29 00:41:41,2026-05-28 23:33:59
Nether Wart,Dwarffles,2.0,5.0,3.0,/warp lidl,-3923 155 12306,2026-05-29 00:41:41,2026-05-28 23:34:01
Iron Ingot,Crazy69,2.0,4.0,2.0,/warp crazysshop,-11848 63 15181,2026-05-27 11:50:15,2026-08-07 08:27:31
Leather,FX_02,0.0,1.5,1.5,/warp sell me ores,-10023 133 3509,2026-07-26 20:38:09,2026-05-26 23:56:40
Leather,FX_02,0.0,1.5,1.5,/warp sell me ores,-10026 138 3513,2026-05-29 11:35:12,2026-05-26 23:56:40
Leather,FX_02,0.0,1.5,1.5,/warp sell me ores,-10025 138 3513,2026-05-29 11:35:13,2026-05-26 23:56:40
Leather,FX_02,0.0,1.5,1.5,/warp sell me ores,-10024 138 3513,2026-05-29 11:35:13,2026-05-26 23:56:40
Leather,FX_02,0.0,1.5,1.5,/warp sell me ores,-10023 138 3513,2026-05-29 11:35:14,2026-05-26 23:56:40
Leather,FX_02,0.0,1.5,1.5,/warp sell me ores,-10022 138 3513,2026-05-29 11:35:15,2026-05-26 23:56:40
Feather,FX_02,0.0,1.0,1.0,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-26 23:56:43
Feather,FX_02,0.0,1.0,1.0,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-26 23:56:43
Feather,FX_02,0.0,1.0,1.0,/warp sell me ores,-10032 138 3513,2026-05-29 11:34:55,2026-05-26 23:56:43
Feather,FX_02,0.0,1.0,1.0,/warp sell me ores,-10033 138 3513,2026-05-29 11:34:56,2026-05-26 23:56:43
Iron Nugget,MaddysinLeigh,0.3,1.0,0.7,/warp maddy's mega mall,-8971 73 -9405,2026-05-29 00:54:12,2026-05-29 00:54:14
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10039 133 3509,2026-05-29 11:33:33,2026-05-27 00:05:39
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10039 133 3509,2026-05-29 11:33:33,2026-05-27 00:05:38
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10039 133 3509,2026-05-29 11:33:33,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10039 133 3509,2026-05-29 11:33:33,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10039 133 3509,2026-05-29 11:33:33,2026-05-27 00:05:36
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10039 133 3509,2026-05-29 11:33:33,2026-05-27 00:05:35
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10039 133 3509,2026-05-29 11:33:33,2026-05-27 00:05:28
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10039 133 3509,2026-05-29 11:33:33,2026-05-27 00:05:27
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10039 133 3509,2026-05-29 11:33:33,2026-05-27 00:05:26
Raw Beef,FX_02,0.0,0.28,0.28,/warp sell me ores,-10021 133 3509,2026-07-26 20:38:07,2026-05-27 00:08:23
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:26
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:42
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:40
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:39
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:38
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:36
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:35
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:28
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:27
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10038 133 3509,2026-05-29 11:33:34,2026-05-27 00:05:26
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:27
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:26
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:42
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:40
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:39
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:38
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:36
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:35
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:28
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10037 133 3509,2026-05-29 11:33:35,2026-05-27 00:05:27
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:28
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:27
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:26
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:42
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:40
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:39
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:38
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:36
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:35
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10036 133 3509,2026-05-29 11:33:36,2026-05-27 00:05:28
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:35
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:28
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:27
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:26
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:42
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:40
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:39
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:38
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:36
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10035 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:35
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:14
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:13
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:12
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:11
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:43
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:42
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:41
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:40
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:39
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:38
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:37
Raw Porkchop,FX_02,0.0,0.28,0.28,/warp sell me ores,-10034 133 3509,2026-05-29 11:33:37,2026-05-27 00:05:36
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:28
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:27
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:26
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:15
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:14
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:13
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:12
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:11
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:31
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:30
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:29
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:28
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:27
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:26
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10033 133 3509,2026-05-29 11:33:38,2026-05-27 00:06:15
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:16
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:25
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:24
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:23
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:22
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:21
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:20
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:20
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:19
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:18
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:17
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:16
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10031 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:16
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:31
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:30
Feather,FX_02,0.0,0.28,0.28,/warp sell me ores,-10032 133 3509,2026-05-29 11:33:39,2026-05-27 00:06:29
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:19
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:18
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:17
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:16
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:16
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:25
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:24
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:23
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:22
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:21
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:20
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:20
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:19
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:18
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:17
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10030 133 3509,2026-05-29 11:33:40,2026-05-27 00:06:16
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10027 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:22
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10027 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:21
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10027 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:20
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10027 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:20
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10027 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:19
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10027 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:18
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10027 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:17
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10027 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:16
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10027 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:16
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:25
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:24
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:23
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:22
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:21
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:20
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10029 133 3509,2026-05-29 11:33:41,2026-05-27 00:06:20
Raw Beef,FX_02,0.0,0.28,0.28,/warp sell me ores,-10020 133 3509,2026-05-29 11:33:47,2026-05-27 00:07:41
Raw Chicken,FX_02,0.0,0.28,0.28,/warp sell me ores,-10028 133 3509,2026-05-29 11:33:42,2026-05-27 00:06:25
