Item,Quantity,Sell_Price,Buy_Price,Profit_Per_Item,Total_Profit,Seller,Seller_Warp,Seller_Stock,Buyer,Buyer_Warp,Buyer_Stock,Seller_Location,Buyer_Location,Seller_Timestamp,Buyer_Timestamp
Granite,1728,1.0,3.0,2.0,3456.0,Hobosapian,/warp shopbo,1728,SerSicerio,/warp serstore,3456,14596 77 -1406,-17616 159 18752,2026-07-08 23:45:29,2026-08-07 08:17:37
Magma Cream,1728,1.0,3.0,2.0,3456.0,Dwarffles,/warp lidl,1728,SpaghettiPasta,/warp one,3456,-3912 156 12320,4232 152 6872,2026-05-31 13:10:06,2026-05-29 10:56:02
Andesite,1728,1.0,3.0,2.0,3456.0,Hobosapian,/warp shopbo,1728,SerSicerio,/warp serstore,3456,14596 77 -1408,-17616 159 18753,2026-07-08 23:45:30,2026-08-07 08:17:37
Packed Ice,1728,4.0,6.0,2.0,3456.0,tazrar,/warp farm stuff,1728,SerSicerio,/warp serstore,3456,17360 71 11836,-17617 159 18774,2026-05-29 00:27:53,2026-08-07 08:16:43
Diorite,1728,1.0,3.0,2.0,3456.0,Hobosapian,/warp shopbo,1728,SerSicerio,/warp serstore,3456,14596 77 -1407,-17616 159 18754,2026-07-08 23:45:30,2026-08-07 08:17:36
Granite,1728,1.0,3.0,2.0,3456.0,celticpiping,/warp celt,2236,SerSicerio,/warp serstore,3456,4806 -46 -13264,-17616 159 18752,2026-08-08 11:40:17,2026-08-07 08:17:37
Block of Redstone,3456,0.01,1.0,0.99,3421.44,Chijoku,/warp chi,3456,_ZippyCastle5557,/warp zippytrial,3456,-11713 133 -10122,-2062 -18 1292,2026-05-29 00:03:41,2026-08-16 14:51:47
Block of Redstone,3456,0.01,1.0,0.99,3421.44,Chijoku,/warp chi,3456,Mio_TOT,/warp dark shop,3456,-11713 135 -10122,-13688 -8 181,2026-05-29 00:03:45,2026-05-30 13:04:11
Acacia Leaves,1708,1.0,3.0,2.0,3416.0,tazrar,/warp farm stuff,1708,AKoopa,/warp koopa,3270,17349 69 11847,13310 115 -6488,2026-05-29 00:29:02,2026-05-30 10:27:22
Coal,1414,1.0,3.4,2.4,3393.6,SerSicerio,/warp serstore,3456,__server__,/shop,999999,-17662 158 18755,SERVER_SELL_MINEABLES,2026-08-07 08:18:11,2026-08-16 13:47:35
Sandstone,1867,0.7,2.5,1.8,3360.6,AKoopa,/warp koopa,2995,Crazy69,/warp crazysshop,3456,13251 114 -6480,-11787 65 15208,2026-05-30 10:21:47,2026-08-07 08:27:15
Acacia Log,832,4.0,8.0,4.0,3328.0,midwu,/warp panda,1277,Effortles,/warp sale,3456,15666 71 11965,-13430 -4 4377,2026-08-07 08:13:31,2026-05-29 11:28:52
Cobblestone,3326,1.0,2.0,1.0,3326.0,celticpiping,/warp celt,3456,MissLion1997,/warp blue,3456,4806 -44 -13257,-1823 74 6162,2026-08-08 11:40:26,2026-05-28 23:31:42
Pale Oak Log,1638,4.0,6.0,2.0,3276.0,Hobosapian,/warp shopbo,1638,Crazy69,/warp crazysshop,3456,14596 75 -1418,-11758 65 15208,2026-07-08 23:45:12,2026-08-07 08:28:17
Lapis Lazuli,756,2.0,6.3,4.3,3250.7999999999997,pao_7,/warp potionsplus,756,Effortles,/warp sale,3456,616 73 1013,-13446 -5 4390,2026-05-29 11:12:00,2026-05-29 11:26:44
Magma Block,1620,3.0,5.0,2.0,3240.0,celticpiping,/warp celt,2481,SpaghettiPasta,/warp one,3392,4770 -50 -13215,4231 152 6871,2026-08-08 11:45:34,2026-05-29 10:56:04
Warped Nylium,1591,4.0,6.0,2.0,3182.0,Soup__booty,/warp soupshop,1591,SerSicerio,/warp serstore,3456,9888 61 -12556,-17627 159 18748,2026-05-29 11:50:16,2026-08-07 08:17:58
Shroomlight,211,10.0,25.0,15.0,3165.0,Exestive,/warp luxeria,211,SerSicerio,/warp serstore,2269,9815 151 16218,-17625 159 18748,2026-05-29 00:43:36,2026-08-08 11:39:09
Cobblestone,3130,1.0,2.0,1.0,3130.0,celticpiping,/warp celt,3260,MissLion1997,/warp blue,3456,4806 -46 -13257,-1823 73 6162,2026-08-08 11:40:27,2026-05-28 23:31:43
Cobblestone,3130,1.0,2.0,1.0,3130.0,celticpiping,/warp celt,3456,MissLion1997,/warp blue,3456,4806 -43 -13257,-1823 72 6162,2026-08-08 11:40:26,2026-05-28 23:31:44
Magma Block,1243,2.5,5.0,2.5,3107.5,ZestyRoyalty,/warp nethersunny,1243,SpaghettiPasta,/warp one,3392,14242 79 3643,4231 152 6871,2026-05-31 13:21:42,2026-05-29 10:56:04
Gravel,1525,2.0,4.0,2.0,3050.0,MatsmitGlatz,/warp blockmart,3415,Allyri,/warp ri,3456,12412 77 -9897,-5238 175 -4789,2026-08-08 11:30:46,2026-06-23 23:38:36
Grass Block,2029,1.0,2.5,1.5,3043.5,celticpiping,/warp celt,2029,AKoopa,/warp koopa,2705,4803 -47 -13230,13255 115 -6479,2026-08-08 11:42:34,2026-05-30 10:21:50
Cobblestone,1521,1.0,3.0,2.0,3042.0,Hobosapian,/warp shopbo,1728,SerSicerio,/warp serstore,3456,14596 77 -1409,-17616 159 18760,2026-07-08 23:45:31,2026-08-07 08:17:31
Jungle Log,1515,4.0,6.0,2.0,3030.0,Hobosapian,/warp shopbo,1515,Effortles,/warp sale,3456,14598 75 -1418,-13430 -4 4376,2026-07-08 23:45:14,2026-05-29 11:28:53
Tuff,2926,3.0,4.0,1.0,2926.0,emattj1s,/warp hideout,3456,Effortles,/warp sale,3456,-14430 -25 -322,-13442 -4 4362,2026-08-01 22:47:47,2026-08-16 14:33:23
Gravel,968,1.0,4.0,3.0,2904.0,Hobosapian,/warp shopbo,3068,Allyri,/warp ri,1030,14596 75 -1413,-5238 175 -4788,2026-07-08 23:45:22,2026-05-29 11:18:21
Mycelium,2902,5.0,6.0,1.0,2902.0,Killablob,/warp killashop,3456,SerSicerio,/warp serstore,3456,11538 70 -5242,-17616 159 18761,2026-05-30 10:39:06,2026-08-07 08:17:31
Shroomlight,151,6.0,25.0,19.0,2869.0,pao_7,/warp celt,151,SerSicerio,/warp serstore,2269,4793 -48 -13315,-17625 159 18748,2026-08-08 11:52:49,2026-08-08 11:39:09
Red Nether Bricks,951,5.0,8.0,3.0,2853.0,_ZippyCastle5557,/warp zippytrial,951,Effortles,/warp wood shop,3220,-2016 -20 1321,-13430 -4 4367,2026-08-16 14:52:29,2026-06-24 00:40:30
Gunpowder,1728,0.35,2.0,1.65,2851.2,midwu,/warp panda,1728,Effortles,/warp sale,3456,15696 71 11958,-13448 -5 4372,2026-08-07 08:14:07,2026-05-29 11:28:01
Observer,280,40.0,50.0,10.0,2800.0,AKoopa,/warp koopa,280,FX_02,/warp 1,2887,13305 113 -6422,8594 -36 -2004,2026-05-30 10:32:16,2026-05-26 23:55:02
Lapis Lazuli,3456,4.3,5.1,0.7999999999999998,2764.7999999999993,Soup__booty,/warp soupshop,3456,__server__,/shop,999999,9841 59 -12551,SERVER_SELL_MINEABLES,2026-05-29 11:48:33,2026-08-16 13:47:35
Pale Oak Log,1361,4.0,6.0,2.0,2722.0,midwu,/warp panda,1405,Crazy69,/warp crazysshop,3456,15666 71 11956,-11758 65 15208,2026-08-07 08:13:51,2026-08-07 08:28:17
Dripstone Block,1806,2.5,4.0,1.5,2709.0,nathan812,/warp rockets,3456,Effortles,/warp sale,3456,12392 -2 5804,-13468 -4 4394,2026-05-29 11:25:39,2026-05-29 11:30:37
Sunny Spear,18,50.0,200.0,150.0,2700.0,Hobosapian,/warp shopbo,18,_FireWilley,/warp wow,19,14601 77 -1412,18675 10 -7190,2026-07-08 23:45:54,2026-08-17 11:25:10
Gravel,1326,2.0,4.0,2.0,2652.0,Ayame989,/warp village hall,1326,Allyri,/warp ri,3456,-9080 63 13800,-5238 175 -4789,2026-05-29 12:27:17,2026-06-23 23:38:36
Warped Wart Block,1307,3.0,5.0,2.0,2614.0,Exestive,/warp luxeria,1790,Effortles,/warp sale,1307,9829 152 16213,-13468 -4 4376,2026-05-29 00:44:01,2026-05-29 11:30:27
Bone Block,1728,0.99,2.5,1.51,2609.28,midwu,/warp panda,1728,FX_02,/warp 1,3085,15696 71 11960,8586 -33 -2020,2026-08-07 08:14:08,2026-05-26 23:52:25
Sandstone,1128,0.7,3.0,2.3,2594.3999999999996,AKoopa,/warp koopa,2995,FX_02,/warp 1,1128,13251 114 -6480,8592 -43 -2020,2026-05-30 10:21:47,2026-05-26 23:59:04
Cherry Log,1296,4.0,6.0,2.0,2592.0,Hobosapian,/warp shopbo,1296,Effortles,/warp sale,3456,14596 77 -1418,-13430 -4 4378,2026-07-08 23:45:12,2026-05-29 11:28:51
Tuff Bricks,861,1.0,4.0,3.0,2583.0,MaddysinLeigh,/warp 909mall,2224,SerSicerio,/warp serstore,861,8869 64 -13448,-17617 159 18773,2026-05-30 12:53:25,2026-08-07 08:16:42
Jungle Log,1278,4.0,6.0,2.0,2556.0,midwu,/warp panda,1278,Effortles,/warp sale,3456,15666 71 11966,-13430 -4 4376,2026-08-07 08:13:32,2026-05-29 11:28:53
Raw Copper,2119,5.1,6.3,1.2000000000000002,2542.8,AKoopa,/warp koopa,3456,Effortles,/warp sale,3456,13320 113 -6432,-13437 -4 4400,2026-05-30 10:31:08,2026-05-29 11:29:28
Raw Copper,2119,5.1,6.3,1.2000000000000002,2542.8,AKoopa,/warp koopa,3456,Effortles,/warp sale,3456,13318 113 -6432,-13438 -4 4400,2026-05-30 10:31:05,2026-05-29 11:29:27
Sugar Cane,1687,0.5,2.0,1.5,2530.5,iTzzMegawox,/warp fifodeals,2880,Polite_player,/warp sell materials,1752,-12645 -57 16125,-19268 71 9326,2026-05-29 00:33:50,2026-07-08 23:36:03
Cherry Log,1258,4.0,6.0,2.0,2516.0,midwu,/warp panda,1405,Effortles,/warp sale,3456,15666 71 11953,-13430 -4 4378,2026-08-07 08:13:49,2026-05-29 11:28:51
Dirt,2512,1.0,2.0,1.0,2512.0,emattj1s,/warp hideout,3456,Effortles,/warp sale,3456,-14426 -24 -326,-13446 -4 4362,2026-08-01 22:48:14,2026-05-29 11:31:22
Basalt,830,2.0,5.0,3.0,2490.0,ZestyRoyalty,/warp nethersunny,830,saltzi,/warp villager trading hall,2432,14253 70 3618,7129 34 12217,2026-05-29 10:36:53,2026-05-29 12:31:10
Oak Sapling,995,5.0,7.5,2.5,2487.5,tazrar,/warp farm stuff,1728,Killablob,/warp killashop,1946,17347 72 11850,11575 72 -5268,2026-05-29 00:28:55,2026-05-30 11:12:41
Dripstone Block,1650,2.5,4.0,1.5,2475.0,nathan812,/warp rockets,3456,SerSicerio,/warp serstore,3456,12392 -2 5804,-17617 159 18776,2026-05-29 11:25:39,2026-08-07 08:16:44
Acacia Sapling,411,1.5,7.5,6.0,2466.0,czsunny12,/warp czshop,411,FX_02,/warp 1,1846,7466 67 -10091,8594 -43 -2004,2026-08-07 08:30:31,2026-05-26 23:57:31
Acacia Sapling,981,5.0,7.5,2.5,2452.5,tazrar,/warp farm stuff,981,FX_02,/warp 1,1846,17349 72 11846,8594 -43 -2004,2026-05-29 00:29:00,2026-05-26 23:57:31
Basalt,1220,3.0,5.0,2.0,2440.0,Hobosapian,/warp shopbo,1220,saltzi,/warp villager trading hall,3456,14599 77 -1402,7129 33 12217,2026-07-08 23:46:04,2026-05-29 12:31:10
Observer,243,40.0,50.0,10.0,2430.0,RyRavioli,/warp buyingspawners,243,FX_02,/warp 1,2887,-10018 71 3180,8594 -36 -2004,2026-05-28 23:39:27,2026-05-26 23:55:02
Coal,1728,2.0,3.4,1.4,2419.2,tazrar,/warp farm stuff,1728,__server__,/shop,999999,17360 76 11829,SERVER_SELL_MINEABLES,2026-05-29 00:28:03,2026-08-16 13:47:35
Raw Copper,555,2.0,6.3,4.3,2386.5,Ayame989,/warp village hall,555,Effortles,/warp sale,3456,-9100 63 13783,-13436 -6 4400,2026-05-29 12:27:58,2026-05-29 11:29:24
Sand,1191,2.0,4.0,2.0,2382.0,_ZippyCastle5557,/warp zippytrial,3180,Dwarffles,/warp bulk sell,3456,-2024 -20 1327,-4013 117 12336,2026-08-16 14:52:49,2026-08-08 11:14:21
White Concrete,1188,8.0,10.0,2.0,2376.0,Killablob,/warp killashop,1188,Puppies75200,/warp sellconcrete,3243,11521 70 -5266,5184 1 -13471,2026-05-30 10:42:42,2026-08-08 11:31:50
Cobblestone,2374,1.0,2.0,1.0,2374.0,czsunny12,/warp czshop,3456,MissLion1997,/warp blue,3456,7446 66 -10075,-1820 72 6162,2026-08-07 08:29:45,2026-05-28 23:31:47
Cobblestone,2374,1.0,2.0,1.0,2374.0,nathan812,/warp rockets,3456,MissLion1997,/warp blue,3456,12392 -2 5803,-1820 73 6162,2026-05-29 11:25:40,2026-05-28 23:31:48
Cherry Sapling,948,5.0,7.5,2.5,2370.0,XTheMuffinManX95,/warp wood!,948,Killablob,/warp killashop,3456,9205 8 7798,11575 72 -5273,2026-05-29 12:34:54,2026-05-30 11:12:44
Cherry Sapling,948,5.0,7.5,2.5,2370.0,XTheMuffinManX95,/warp wood!,948,Killablob,/warp killashop,3456,9205 8 7799,11575 72 -5273,2026-05-29 12:35:46,2026-05-30 11:12:44
Mud,691,4.1,7.5,3.4000000000000004,2349.4,Harmony_Gold_,/warp wood shop,691,FX_02,/warp 1,2896,-6125 25 1408,8595 -42 -2020,2026-05-29 12:41:55,2026-05-26 23:59:08
Tuff,2324,3.0,4.0,1.0,2324.0,czsunny12,/warp czshop,2880,SerSicerio,/warp serstore,3456,7451 67 -10075,-17617 159 18769,2026-08-07 08:29:57,2026-08-07 08:16:39
Mangrove Log,663,9.0,12.5,3.5,2320.5,_ZippyCastle5557,/warp zippytrial,663,FX_02,/warp 1,2881,-2090 -20 1281,8584 -43 -2006,2026-08-16 14:46:13,2026-05-26 23:58:02
Gunpowder,1383,0.35,2.0,1.65,2281.95,midwu,/warp panda,1728,Effortles,/warp sale,3456,15696 71 11956,-13448 -5 4372,2026-08-07 08:14:06,2026-05-29 11:28:01
Block of Diamond,30,800.0,875.0,75.0,2250.0,celticpiping,/warp celt,30,FX_02,/warp sell me ores,3456,4792 -44 -13241,-10054 135 3502,2026-08-08 11:41:56,2026-05-29 11:33:09
Raw Copper,1728,5.0,6.3,1.2999999999999998,2246.3999999999996,tazrar,/warp farm stuff,1728,Effortles,/warp sale,3456,17363 76 11829,-13436 -4 4400,2026-05-29 00:28:01,2026-05-29 11:29:29
Gunpowder,969,0.2,2.5,2.3,2228.7,TycoRC,/warp !tyco's shop,2141,FX_02,/warp 1,975,-1760 35 3341,8595 -35 -2020,2026-05-28 11:23:51,2026-05-26 23:56:39
Copper Ingot,741,1.0,4.0,3.0,2223.0,Alisa12345,/warp shrimp shop,741,Mio_TOT,/warp soupshop,3158,-7112 113 -17576,-13688 -8 130,2026-05-29 11:44:09,2026-07-05 11:15:12
Tuff,3072,3.0,3.72,0.7200000000000002,2211.8400000000006,Exestive,/warp luxeria,3072,Allyri,/warp ri,3392,9819 162 16229,-5234 175 -4789,2026-05-29 00:45:25,2026-05-29 11:18:16
Raw Copper,1800,5.1,6.3,1.2000000000000002,2160.0000000000005,AKoopa,/warp koopa,3456,Effortles,/warp sale,3456,13321 113 -6432,-13438 -6 4400,2026-05-30 10:31:09,2026-05-29 11:29:25
Raw Copper,1656,5.0,6.3,1.2999999999999998,2152.7999999999997,_ZippyCastle5557,/warp zippytrial,1656,Effortles,/warp sale,3456,-2040 -20 1296,-13438 -6 4400,2026-08-16 14:50:33,2026-05-29 11:29:25
Cherry Sapling,833,5.0,7.5,2.5,2082.5,_FireWilley,/warp wow,833,Killablob,/warp killashop,3456,18654 9 -7124,11575 72 -5273,2026-08-17 11:28:11,2026-05-30 11:12:44
