Item,Quantity,Sell_Price,Buy_Price,Profit_Per_Item,Total_Profit,Seller,Seller_Warp,Seller_Stock,Buyer,Buyer_Warp,Buyer_Stock,Seller_Location,Buyer_Location,Seller_Timestamp,Buyer_Timestamp
Glass,1393,4.0,5.0,1.0,1393.0,Soup__booty,/warp soupshop,3456,Crazy69,/warp crazysshop,1608,9877 59 -12551,-11728 65 15198,2026-05-29 11:49:41,2026-08-07 08:29:00
Mushroom Stem,230,9.0,15.0,6.0,1380.0,Hobosapian,/warp shopbo,230,Effortles,/warp sale,3456,14599 75 -1402,-13468 -4 4391,2026-07-08 23:45:58,2026-05-29 11:30:36
Bee Nest,9,100.0,250.0,150.0,1350.0,Abbie_Kills,/warp decor,9,SerSicerio,/warp serstore,3456,18555 22 974,-17617 159 18777,2026-05-29 00:12:24,2026-08-07 08:16:45
Block of Coal,83,2.0,18.0,16.0,1328.0,Ayame989,/warp village hall,92,AKoopa,/warp koopa,3456,-9086 63 13786,13325 114 -6428,2026-05-29 12:27:51,2026-05-30 10:31:27
Birch Leaves,663,1.0,3.0,2.0,1326.0,tazrar,/warp farm stuff,663,AKoopa,/warp koopa,3456,17346 69 11847,13310 115 -6491,2026-05-29 00:28:58,2026-05-30 10:27:26
Waxed Oxidized Copper Bulb,264,5.0,10.0,5.0,1320.0,Ayame989,/warp village hall,264,Effortles,/warp sale,3456,-9093 63 13786,-13468 -4 4365,2026-05-29 12:27:55,2026-05-29 11:30:49
Podzol,1319,3.0,4.0,1.0,1319.0,Crazy69,/warp crazysshop,1319,SerSicerio,/warp serstore,3456,-11789 63 15208,-17617 159 18770,2026-08-07 08:27:10,2026-08-07 08:16:40
Red Mushroom,728,0.2,2.0,1.8,1310.4,Hobosapian,/warp shopbo,728,AKoopa,/warp koopa,3456,14601 75 -1404,13325 115 -6479,2026-07-08 23:45:45,2026-05-30 10:28:12
Dark Prismarine,1303,5.0,6.0,1.0,1303.0,DaftWeevil2996,/warp ocean city shop,1303,Effortles,/warp sale,3456,-18212 42 17964,-13468 -4 4388,2026-07-01 21:29:39,2026-05-29 11:30:34
Soul Sand,2570,2.5,3.0,0.5,1285.0,HoboNova,/warp shopbo,3447,SerSicerio,/warp serstore,2718,14596 75 -1405,-17633 159 18748,2026-05-29 11:41:17,2026-08-07 08:17:53
Red Mushroom Block,128,2.0,12.0,10.0,1280.0,kiwi_241,/warp v.i.p room,136,Effortles,/warp sale,128,-1420 63 -2522,-13468 -4 4392,2026-05-29 12:22:39,2026-05-29 11:30:36
Nether Wart,1228,1.0,2.0,1.0,1228.0,tazrar,/warp farm stuff,1228,Dwarffles,/warp bulk sell,1763,17390 72 11844,-4016 117 12338,2026-05-29 00:26:38,2026-08-08 11:14:32
Deepslate Diamond Ore,4,200.0,500.0,300.0,1200.0,RubberDucky7474,/warp nethersunny,4,SerSicerio,/warp serstore,3456,14232 71 3607,-17670 159 18759,2026-05-29 10:38:13,2026-08-08 10:54:33
Crimson Nylium,589,4.0,6.0,2.0,1178.0,Harmony_Gold_,/warp wood shop,589,SerSicerio,/warp serstore,3456,-6135 25 1410,-17630 159 18748,2026-05-29 12:41:40,2026-08-07 08:17:55
Melon Seeds,2342,0.5,1.0,0.5,1171.0,Crazy69,/warp crazysshop,3456,FX_02,/warp 1,2342,-11763 63 15203,8584 -36 -2006,2026-08-07 08:27:40,2026-05-26 23:55:37
Emerald,77,15.0,30.0,15.0,1155.0,Effortles,/warp sale,77,LilOldman,/warp lom,3456,-13445 -6 4389,-10322 64 -548,2026-05-29 11:26:39,2026-07-26 19:28:14
Spruce Log,384,2.0,5.0,3.0,1152.0,Ayame989,/warp village hall,440,FX_02,/warp 1,384,-9077 70 13792,8588 -41 -2004,2026-05-29 12:29:36,2026-05-26 23:57:51
Crimson Stem,562,8.0,10.0,2.0,1124.0,Soup__booty,/warp soupshop,562,Polite_player,/warp sell materials,3456,9858 59 -12554,-19266 71 9328,2026-05-29 11:49:14,2026-07-06 10:08:27
Deepslate Lapis Lazuli Ore,217,35.0,40.0,5.0,1085.0,emattj1s,/warp hideout,217,SerSicerio,/warp serstore,3456,-14392 -25 -324,-17675 159 18759,2026-08-01 22:48:57,2026-08-07 08:18:43
Red Sand,557,1.1,3.0,1.9,1058.3,kiwi_241,/warp v.i.p room,557,FX_02,/warp 1,1561,-1471 66 -2534,8592 -41 -2020,2026-05-29 12:24:36,2026-05-26 23:59:01
Sunny Helmet,15,50.0,120.0,70.0,1050.0,Hobosapian,/warp shopbo,15,AKoopa,/warp koopa,27,14601 77 -1411,13251 114 -6461,2026-07-08 23:45:53,2026-05-30 10:21:07
Sunny Leggings,15,50.0,120.0,70.0,1050.0,Hobosapian,/warp shopbo,15,AKoopa,/warp koopa,27,14601 77 -1409,13254 114 -6461,2026-07-08 23:45:52,2026-05-30 10:21:04
Lantern,340,2.0,5.0,3.0,1020.0,glossycherry,/warp cherry shop,340,Killablob,/warp killashop,3456,-12113 9 188,11575 72 -5246,2026-05-29 00:01:48,2026-05-30 10:37:04
Feather,2750,0.0,0.37,0.37,1017.5,FX_02,/warp sell me ores,3456,Killablob,/warp killashop,2801,-10033 133 3509,11560 72 -5287,2026-05-29 11:33:38,2026-05-30 10:53:30
Rail,334,5.0,8.0,3.0,1002.0,celticpiping,/warp celt,3456,Effortles,/warp sale,334,4740 -44 -13257,-13458 -4 4362,2026-08-08 11:47:52,2026-05-29 11:31:06
Pale Oak Sapling,382,5.0,7.5,2.5,955.0,tazrar,/warp farm stuff,382,Killablob,/warp killashop,3456,17349 72 11854,11575 72 -5274,2026-05-29 00:28:45,2026-05-30 11:12:45
Carrot,1290,0.1,0.84,0.74,954.6,czsunny12,/warp czshop,1390,Killablob,/warp killashop,1402,7460 67 -10066,11563 72 -5296,2026-08-07 08:31:26,2026-05-30 10:57:16
Potato,3178,0.5,0.8,0.30000000000000004,953.4000000000001,Crazy69,/warp crazysshop,3182,AKoopa,/warp koopa,3456,-11766 63 15203,13260 113 -6419,2026-08-07 08:27:39,2026-05-30 10:19:45
Stonecutter,190,10.0,15.0,5.0,950.0,Abbie_Kills,/warp decor,190,AKoopa,/warp koopa,1728,18565 20 1012,13283 115 -6419,2026-05-29 00:11:50,2026-05-30 10:19:11
Bucket,135,3.0,10.0,7.0,945.0,Soup__booty,/warp soupshop,135,Effortles,/warp sale,864,9888 61 -12549,-13444 -5 4367,2026-05-29 11:50:06,2026-05-29 11:28:12
Glowstone,313,2.0,5.0,3.0,939.0,Dwarffles,/warp lidl,1713,Effortles,/warp sale,313,-3920 154 12307,-13468 -4 4383,2026-05-29 00:41:44,2026-07-05 23:19:37
Phantom Membrane,125,5.0,12.5,7.5,937.5,Hobosapian,/warp shopbo,601,FX_02,/warp 1,125,14615 77 -1408,8585 -30 -2004,2026-08-08 11:16:39,2026-05-26 23:51:23
Raw Chicken,3456,0.0,0.27,0.27,933.1200000000001,FX_02,/warp sell me ores,3456,Server,/shop,999999999,-10031 133 3509,0 0 0,2026-05-29 11:33:40,2026-05-31 12:15:00
Spruce Sapling,200,3.0,7.5,4.5,900.0,Alisa12345,/warp shrimp shop,200,FX_02,/warp 1,3366,-7100 113 -17576,8594 -41 -2004,2026-05-29 11:44:23,2026-05-26 23:57:35
Melon,500,1.0,2.73,1.73,865.0,MaddysinLeigh,/warp 909mall,500,Allyri,/warp ri,3456,8906 65 -13489,-5234 172 -4853,2026-05-30 12:59:35,2026-05-29 11:22:20
